,RunId,iteration,Step,N,r,dr,mr,cr,linkage_dis,altruistic fraction,true beards fraction,suckers fraction,impostors fraction,cowards fraction,n_agents
31,0,0,31,1000,0.25,0.95,0.0001,0,False,0.03560830860534125,0.033630069238377844,0.0019782393669634025,0.7497527200791295,0.21463897131552917,1011
32,0,0,32,1000,0.25,0.95,0.0001,0,False,0.02171767028627838,0.02171767028627838,0.0,0.7769002961500494,0.20138203356367226,1013
33,0,0,33,1000,0.25,0.95,0.0001,0,False,0.014734774066797643,0.014734774066797643,0.0,0.7996070726915521,0.1856581532416503,1018
34,0,0,34,1000,0.25,0.95,0.0001,0,False,0.007827788649706457,0.007827788649706457,0.0,0.8072407045009785,0.18493150684931506,1022
35,0,0,35,1000,0.25,0.95,0.0001,0,False,0.14923954372623574,0.14923954372623574,0.0,0.6720532319391636,0.17870722433460076,1052
36,0,0,36,1000,0.25,0.95,0.0001,0,False,0.12428842504743833,0.12428842504743833,0.0,0.6840607210626186,0.19165085388994307,1054
37,0,0,37,1000,0.25,0.95,0.0001,0,False,0.1,0.1,0.0,0.7063636363636364,0.19363636363636363,1100
38,0,0,38,1000,0.25,0.95,0.0001,0,False,0.10412757973733583,0.10412757973733583,0.0,0.6829268292682927,0.2129455909943715,1066
39,0,0,39,1000,0.25,0.95,0.0001,0,False,0.0782851817334576,0.0782851817334576,0.0,0.6663560111835974,0.255358807082945,1073
40,0,0,40,1000,0.25,0.95,0.0001,0,False,0.06007393715341959,0.06007393715341959,0.0,0.6792975970425139,0.26062846580406657,1082
41,0,0,41,1000,0.25,0.95,0.0001,0,False,0.05070422535211268,0.05070422535211268,0.0,0.6948356807511737,0.2544600938967136,1065
